E,f,n,ExecutionTime
246,8,50,0.0500000000000114
491,16,50,0.00999999999999091
477,6,50,0
486,13,50,0.0300000000000296
532,9,50,0.00999999999999091
499,16,50,0.0199999999999818
454,12,50,0.0300000000000296
493,13,50,0.0299999999999727
483,9,50,0.0200000000000387
485,15,50,0.0299999999999727
471,13,50,0.0299999999999727
225,5,50,0.0199999999999818
251,8,50,0.0300000000000296
243,7,50,0.00999999999999091
249,6,50,0.0199999999999818
259,6,50,0.0200000000000387
253,7,50,0
237,7,50,0.00999999999999091
270,2,50,0.0200000000000387
247,11,50,0.0199999999999818
238,15,50,0.0300000000000296
462,18,50,0.0600000000000023
489,16,50,0.0499999999999545
488,17,50,0.0200000000000387
459,17,50,0.0400000000000205
517,19,50,0.0299999999999727
475,15,50,0.0399999999999636
522,15,50,0.00999999999999091
485,14,50,0.0400000000000205
503,18,50,0.00999999999999091
478,14,50,0.0300000000000296
266,7,50,0
227,15,50,0.0100000000000477
269,5,50,0.0199999999999818
224,10,50,0.0299999999999727
239,7,50,0.0200000000000387
247,8,50,0.00999999999999091
233,6,50,0.0199999999999818
227,6,50,0.00999999999999091
255,3,50,0
243,8,50,0.0200000000000387
484,26,50,0.0399999999999636
474,33,50,0.169999999999959
463,27,50,0.0299999999999727
466,14,50,0.100000000000023
490,18,50,0.0500000000000114
477,16,50,0.0500000000000114
505,26,50,0.0500000000000114
496,33,50,0.120000000000005
470,24,50,0.0299999999999727
472,22,50,0.0299999999999727
241,13,50,0.0500000000000114
231,11,50,0.00999999999999091
214,9,50,0
243,10,50,0.139999999999986
236,12,50,0.0500000000000114
237,6,50,0.0299999999999727
246,7,50,0.0199999999999818
239,6,50,0.0100000000000477
245,9,50,0.0799999999999841
247,15,50,0.0500000000000114
506,17,50,0.0299999999999727
487,17,50,0.0500000000000114
505,18,50,0.0100000000000477
477,9,50,0.0299999999999727
495,32,50,0.120000000000005
484,19,50,0.0299999999999727
483,26,50,0.0300000000000296
519,12,50,0.00999999999999091
497,20,50,0.0100000000000477
500,20,50,0.129999999999995
251,49,50,0.0500000000000114
230,0,50,0.00999999999999091
250,28,50,0.0300000000000296
226,23,50,0.0399999999999636
251,14,50,0.139999999999986
252,28,50,0.0600000000000023
238,13,50,0.0100000000000477
224,32,50,0.0500000000000114
228,6,50,0.00999999999999091
232,4,50,0
494,37,50,0.150000000000034
480,42,50,0.0500000000000114
526,58,50,0.129999999999995
501,26,50,0.0299999999999727
519,48,50,0.0699999999999932
494,12,50,0
466,16,50,0.00999999999999091
491,20,50,0.0300000000000296
505,31,50,0.0400000000000205
499,43,50,0.0500000000000114
1056,5,100,0.0299999999999727
985,13,100,0.120000000000005
1005,6,100,0.0799999999999841
1036,14,100,0.0799999999999841
1027,17,100,0.129999999999995
983,13,100,0.180000000000007
1069,12,100,0.0400000000000205
1005,12,100,0.160000000000025
1026,13,100,0.0799999999999841
961,7,100,0.139999999999986
1903,32,100,0.259999999999991
1937,20,100,0.0600000000000023
1942,23,100,0.220000000000027
2008,29,100,0.330000000000041
2002,25,100,0.170000000000016
1983,22,100,0.220000000000027
1981,28,100,0.270000000000039
1959,17,100,0.110000000000014
1963,26,100,0.140000000000043
2011,26,100,0.310000000000002
1033,16,100,0.0500000000000114
1001,4,100,0.0200000000000387
987,20,100,0.139999999999986
1002,26,100,0.259999999999991
999,11,100,0.089999999999975
950,11,100,0.0600000000000023
1025,23,100,0.160000000000025
1004,17,100,0.120000000000005
938,26,100,0.200000000000045
994,14,100,0.0600000000000023
2037,32,100,0.269999999999982
2042,14,100,0.200000000000045
2049,37,100,0.29000000000002
1999,29,100,0.160000000000025
1961,32,100,0.270000000000039
1989,44,100,0.360000000000014
1954,35,100,0.360000000000014
1926,39,100,0.230000000000018
1970,28,100,0.199999999999989
1914,36,100,0.259999999999991
1015,8,100,0.109999999999957
941,22,100,0.279999999999973
977,12,100,0.0500000000000114
978,20,100,0.150000000000034
1015,16,100,0.170000000000016
988,29,100,0.25
1017,25,100,0.21999999999997
1002,24,100,0.25
1013,14,100,0.0600000000000023
997,11,100,0.0299999999999727
2047,31,100,0.29000000000002
1979,56,100,0.310000000000002
1927,30,100,0.299999999999955
1944,57,100,0.490000000000009
2050,51,100,0.230000000000018
1915,28,100,0.1099999999999
1938,49,100,0.329999999999927
2035,45,100,0.329999999999927
