E,f,n,ExecutionTime,cpp
7282,395,102,0,1
7289,417,102,1.20000000000005,0
7289,417,102,0,1
7141,386,102,1.23000000000002,0
7141,386,102,0,1
7203,353,102,0.980000000000018,0
7203,353,102,0,1
7223,343,102,1.21000000000004,0
7223,343,102,0,1
7190,359,102,1.31000000000017,0
7190,359,102,0,1
7160,318,102,1.17000000000007,0
7160,318,102,0,1
7204,394,102,1.27999999999997,0
7204,394,102,0,1
7204,338,102,1.13999999999987,0
7204,338,102,0,1
7120,333,102,0.819999999999936,0
7120,333,102,0,1
7425,361,102,1.02999999999997,0
7425,361,102,0,1
7474,384,102,1.37000000000012,0
7474,384,102,0,1
7440,384,102,1.17000000000007,0
7440,384,102,0,1
7578,402,102,1.08000000000015,0
7578,402,102,0,1
7500,388,102,1.20000000000005,0
7500,388,102,0,1
7533,395,102,1.25,0
7533,395,102,0,1
7459,396,102,1.13999999999987,0
7459,396,102,0,1
7539,421,102,0.789999999999964,0
7539,421,102,0,1
7488,431,102,1.13999999999987,0
7488,431,102,0.0199999999999818,1
7528,410,102,1.4699999999998,0
7528,410,102,0,1
7848,446,102,1.26999999999998,0
7848,446,102,0,1
7837,396,102,1.39999999999986,0
7837,396,102,0,1
7828,398,102,1.01999999999998,0
7828,398,102,0,1
7769,448,102,1.40000000000009,0
7769,448,102,0,1
7820,427,102,1.38000000000011,0
7820,427,102,0,1
7879,397,102,1.30000000000018,0
7879,397,102,0,1
7835,421,102,1.48000000000002,0
7835,421,102,0.0199999999999818,1
7797,389,102,1.59000000000015,0
7797,389,102,0,1
7867,340,102,0.900000000000091,0
7867,340,102,0,1
7819,397,102,1.16000000000008,0
7819,397,102,0,1
8087,394,102,1.15000000000009,0
8087,394,102,0,1
8130,425,102,1.47000000000003,0
8130,425,102,0,1
8062,372,102,1.04999999999995,0
8062,372,102,0,1
8055,443,102,1.24000000000001,0
8055,443,102,0,1
8093,415,102,1.17000000000007,0
8093,415,102,0,1
8081,374,102,1,0
8081,374,102,0,1
8130,363,102,1.3599999999999,0
8130,363,102,0,1
8084,374,102,1.43000000000006,0
8084,374,102,0,1
8059,370,102,1.38000000000011,0
8059,370,102,0.0199999999999818,1
8121,471,102,1.59000000000015,0
8121,471,102,0,1
8408,446,102,1.5,0
8408,446,102,0,1
8391,417,102,1.25,0
8391,417,102,0,1
8415,417,102,1.20000000000005,0
