E,f,n,ExecutionTime
93,4,30,0.0199999999999818
67,2,30,0
68,5,30,0
66,1,30,0
67,2,30,0
81,4,30,0
75,0,30,0
74,2,30,0.00999999999999091
84,0,30,0
72,2,30,0
86,3,30,0
71,3,30,0
74,0,30,0
84,5,30,0.0300000000000296
79,3,30,0
89,6,30,0.319999999999993
74,3,30,0.0199999999999818
83,10,30,0
89,3,30,0
72,1,30,0
90,2,30,0
78,8,30,0
73,0,30,0
78,2,30,0
78,8,30,0
76,1,30,0
74,0,30,0
76,3,30,0
82,3,30,0
71,9,30,0
89,5,30,0.0600000000000023
96,7,30,0.360000000000014
93,10,30,0.0100000000000477
87,4,30,0
89,5,30,0.00999999999999091
79,3,30,0
90,8,30,0
98,3,30,0
83,3,30,0
70,0,30,0
85,6,30,0
93,1,30,0.170000000000016
83,2,30,0.0600000000000023
67,4,30,0
75,5,30,0
80,5,30,0
85,2,30,0
88,1,30,0
78,6,30,0
75,3,30,0
78,0,30,0
82,3,30,0.0500000000000114
74,6,30,0
80,4,30,0.00999999999999091
72,1,30,0
73,2,30,0
77,5,30,0
75,0,30,0.0200000000000387
85,1,30,0
90,5,30,0
87,3,30,0.0199999999999818
85,10,30,0
80,0,30,0
74,4,30,0
72,0,30,0
81,6,30,0
75,1,30,0
87,7,30,0
85,3,30,0.0300000000000296
74,4,30,0
81,2,30,0.0300000000000296
75,1,30,0
76,5,30,0.0299999999999727
84,3,30,0
82,0,30,0
66,2,30,0
84,6,30,0
82,3,30,0
68,2,30,0
89,2,30,0
79,5,30,0
79,1,30,0
77,3,30,0.00999999999999091
95,4,30,0
80,5,30,0.0199999999999818
67,4,30,0
76,7,30,0
73,2,30,0
74,4,30,0
84,4,30,0
74,3,30,0
82,0,30,0.0199999999999818
78,0,30,0.0200000000000387
79,9,30,0
76,3,30,0
83,8,30,0.0199999999999818
86,0,30,0.0600000000000023
77,6,30,0
85,1,30,0
88,0,30,0
83,2,30,0
80,4,30,0
72,0,30,0.00999999999999091
83,4,30,0.160000000000025
91,2,30,3.86000000000001
74,0,30,0
97,7,30,0.360000000000014
89,5,30,0
70,6,30,0
73,3,30,0
85,8,30,0.0400000000000205
95,7,30,0.0699999999999932
80,5,30,0
67,0,30,0
87,4,30,0
75,0,30,0
75,6,30,0
81,5,30,0.00999999999999091
71,7,30,0
77,5,30,0
62,2,30,0
81,4,30,0.0400000000000205
87,4,30,0.00999999999999091
77,0,30,0
83,0,30,0
79,4,30,0
77,1,30,0
78,4,30,0.00999999999999091
73,5,30,0.0200000000000387
81,0,30,0
67,0,30,0
91,2,30,1.5
86,3,30,0.100000000000023
91,0,30,0.0299999999999727
92,2,30,1.24000000000001
78,4,30,0
72,3,30,0
82,0,30,0.0299999999999727
65,1,30,0.0200000000000387
87,2,30,0
84,0,30,0
92,6,30,0.0299999999999727
88,5,30,0
81,2,30,0
65,2,30,0
82,5,30,0.00999999999999091
77,0,30,0.00999999999999091
77,0,30,0
82,1,30,0
69,4,30,0
70,8,30,0
90,4,30,0.189999999999998
81,0,30,0
66,0,30,0
79,4,30,0.0199999999999818
75,8,30,0
78,6,30,0
80,0,30,0.0400000000000205
69,4,30,0
76,2,30,0
63,4,30,0
79,3,30,0.00999999999999091
83,3,30,0
77,3,30,0
84,3,30,0
76,1,30,0
81,1,30,0.0399999999999636
93,3,30,0
85,3,30,0.569999999999993
84,3,30,0
86,6,30,3.50999999999999
85,3,30,0
91,5,30,0.359999999999957
84,4,30,0.0499999999999545
90,4,30,0.0200000000000387
74,2,30,0
83,5,30,0.0199999999999818
61,3,30,0
88,2,30,0.0500000000000114
79,2,30,0
70,2,30,0
76,3,30,0
80,5,30,0
85,4,30,0.310000000000002
80,0,30,0
84,3,30,0.0100000000000477
69,3,30,0
73,1,30,0
69,4,30,0
92,5,30,0
86,4,30,0
65,1,30,0
69,1,30,0.00999999999999091
83,7,30,0.0199999999999818
91,7,30,0.210000000000036
71,2,30,0
83,7,30,0.129999999999995
82,4,30,0.00999999999999091
89,8,30,0
74,1,30,0
81,4,30,0
85,0,30,0.0600000000000023
72,0,30,0
77,6,30,0
73,0,30,0
128,10,30,0.0399999999999636
92,5,30,0.0400000000000205
80,3,30,0
69,0,30,0
68,0,30,0
81,2,30,0
85,5,30,0
75,3,30,0
85,3,30,0
81,6,30,0.0500000000000114
71,1,30,0
75,2,30,0.0300000000000296
79,3,30,0.00999999999999091
90,2,30,0
84,8,30,0
68,0,30,0
83,3,30,0
68,1,30,0
85,3,30,0
68,4,30,0
83,0,30,0
85,0,30,0.0299999999999727
83,3,30,0.0299999999999727
73,5,30,0
73,1,30,0
84,5,30,0
93,3,30,0.20999999999998
78,0,30,0
77,5,30,0.0200000000000387
85,4,30,0
81,2,30,0.0299999999999727
79,3,30,0
70,0,30,0
80,0,30,0
79,4,30,0.00999999999999091
74,4,30,0
64,2,30,0
70,0,30,0.0199999999999818
79,1,30,0
97,5,30,0.0200000000000387
76,5,30,0
74,1,30,0
96,4,30,0
77,8,30,0
70,0,30,0
80,4,30,0
70,0,30,0
80,3,30,0
82,3,30,0
89,2,30,0
72,6,30,0
87,3,30,0
84,3,30,0
82,2,30,0
83,2,30,0
69,3,30,0
62,4,30,0
68,5,30,0.00999999999999091
83,5,30,0
80,4,30,0
67,1,30,0
91,7,30,0
81,0,30,0
87,5,30,0.100000000000023
85,4,30,0
79,4,30,0
63,3,30,0
70,1,30,0
87,1,30,0
87,3,30,0
85,2,30,0.0600000000000023
76,0,30,0
86,4,30,0
72,5,30,0
