E,f,n,ExecutionTime,cpp
2957,68,210,1.65000000000055,0
2957,68,210,0,1
3010,57,210,1.21999999999935,0
3010,57,210,0,1
3013,63,220,1.4399999999996,0
3013,63,220,0,1
2965,56,220,0.869999999999891,0
2965,56,220,0,1
2968,48,220,1.43000000000029,0
2968,48,220,0,1
3064,76,220,2.29999999999927,0
3064,76,220,0,1
3060,64,220,1,0
3060,64,220,0,1
3022,62,230,1.22000000000025,0
3022,62,230,0,1
2942,65,230,2.17000000000007,0
2942,65,230,0,1
3051,87,230,2,0
3051,87,230,0,1
2994,75,230,1.52999999999975,0
2994,75,230,0,1
3020,97,230,3.43000000000029,0
3020,97,230,0,1
3034,24,240,0.690000000000509,0
3034,24,240,0,1
2936,57,240,2.18000000000029,0
2936,57,240,0.00999999999930878,1
3081,60,240,1.26000000000022,0
3081,60,240,0,1
2927,70,240,2.28999999999996,0
2927,70,240,0,1
3002,34,240,1.47000000000025,0
3002,34,240,0.00999999999930878,1
2967,71,250,1.46000000000004,0
2967,71,250,0,1
2942,59,250,1.5,0
2942,59,250,0,1
3097,40,250,1.82999999999993,0
3097,40,250,0,1
3038,29,250,0.510000000000218,0
3038,29,250,0,1
3126,51,250,1.86999999999989,0
3126,51,250,0,1
3081,70,260,1.65999999999985,0
3081,70,260,0,1
2986,57,260,1.84000000000015,0
2986,57,260,0,1
3006,41,260,1.36999999999989,0
3006,41,260,0.0199999999995271,1
2937,46,260,2.04999999999927,0
2937,46,260,0,1
2961,58,260,1.63000000000011,0
2961,58,260,0,1
2966,62,270,2.53999999999996,0
2966,62,270,0,1
2905,46,270,1.75,0
2905,46,270,0,1
3039,33,270,1.59000000000015,0
3039,33,270,0.0200000000004366,1
3009,50,270,2.30999999999949,0
3009,50,270,0,1
3020,43,270,2,0
3020,43,270,0.0200000000004366,1
2969,84,280,2.61999999999989,0
2969,84,280,0,1
2962,71,280,3.40000000000055,0
2962,71,280,0,1
3066,41,280,2.22000000000025,0
3066,41,280,0,1
3045,35,280,1,0
3045,35,280,0,1
3034,60,280,2.44999999999982,0
3034,60,280,0,1
3084,72,290,2.98999999999978,0
3084,72,290,0.0100000000002183,1
3018,68,290,2.06999999999971,0
3018,68,290,0,1
2974,57,290,1.93000000000029,0
2974,57,290,0,1
2993,39,290,1.89999999999964,0
2993,39,290,0,1
3057,48,290,1.67999999999938,0
3057,48,290,0,1
2962,34,300,0.75,0
2962,34,300,0,1
3028,31,300,1.5600000000004,0
3028,31,300,0,1
3074,56,300,3.19999999999982,0
3074,56,300,0,1
3041,35,300,1.69999999999982,0
3041,35,300,0,1
3007,16,300,1,0
3007,16,300,0,1
2981,44,300,1.8100000000004,0
2981,44,300,0,1
3041,25,300,1.43000000000029,0
3041,25,300,0,1
3039,36,300,3.57999999999993,0
3039,36,300,0,1
2987,49,300,3.89999999999964,0
2987,49,300,0,1
3015,48,300,1.63000000000011,0
3015,48,300,0.00999999999930878,1
2901,18,310,0.429999999999382,0
2901,18,310,0,1
3006,50,310,2.49000000000069,0
3006,50,310,0.00999999999930878,1
3103,31,310,0.619999999999891,0
3103,31,310,0,1
3025,63,310,2.26000000000022,0
3025,63,310,0,1
2992,33,310,1.11999999999989,0
2992,33,310,0,1
2914,51,320,2.42000000000007,0
2914,51,320,0,1
2983,17,320,2.05999999999949,0
2983,17,320,0.0200000000004366,1
2947,25,320,2.1899999999996,0
