E,f,n,ExecutionTime
22,3,10,0
16,1,10,0
12,3,10,0
23,3,10,0
21,4,10,0
24,0,10,0
28,4,10,0
28,8,10,0
19,0,10,0
25,0,10,0
24,3,10,0
25,3,10,0
25,4,10,0
24,6,10,0
21,2,10,0
10,0,10,0
8,0,10,0
14,0,10,0
5,5,10,0
12,0,10,0
9,0,10,0
8,0,10,0
11,0,10,0
7,0,10,0
9,0,10,0
14,8,10,0
20,17,10,0
17,2,10,0
21,7,10,0
16,0,10,0
18,8,10,0
17,5,10,0
15,10,10,0
18,0,10,0
20,9,10,0
28,15,10,0
29,9,10,0
28,13,10,0
22,7,10,0
30,8,10,0
27,11,10,0
29,1,10,0
29,8,10,0
27,0,10,0
34,7,10,0
17,0,12,0
19,0,12,0
12,0,12,0
11,0,12,0
21,0,12,0
20,1,12,0
11,0,12,0
9,0,12,0
10,0,12,0
17,0,12,0
11,0,12,0
27,0,12,0
27,0,12,0
38,4,12,0
26,4,12,0
28,3,12,0
27,1,12,0
32,1,12,0
25,0,12,0
32,3,12,0
30,1,12,0
40,1,12,0
40,3,12,0
53,7,12,0
27,1,12,0
37,5,12,0.130000000000109
37,2,12,0
37,0,12,0.00999999999999091
35,4,12,0
37,1,12,0
15,0,12,0
15,1,12,0
12,0,12,0
12,0,12,0
16,0,12,0
12,0,12,0
14,0,12,0
12,1,12,0
9,1,12,0
17,2,12,0
27,4,12,0
19,4,12,0
36,2,12,0
27,4,12,0
21,3,12,0
10,0,12,0
37,3,12,0.0199999999999818
26,5,12,0
33,2,12,0
24,0,12,0
42,9,12,0.0199999999999818
38,5,12,0
40,6,12,0
37,5,12,0
41,11,12,0
42,6,12,0
35,3,12,0
41,8,12,0
34,3,12,0
35,3,12,0
12,0,12,0
12,0,12,0
12,0,12,0
20,6,12,0
9,0,12,0
17,0,12,0
10,0,12,0
8,0,12,0
10,0,12,0
19,3,12,0
29,2,12,0
28,4,12,0
26,3,12,0
24,2,12,0
27,3,12,0
28,2,12,0
22,0,12,0
20,1,12,0
25,1,12,0
23,1,12,0
42,2,12,0
40,4,12,0
40,4,12,0
40,0,12,0
45,9,12,0.00999999999999091
44,7,12,0
43,11,12,0
34,0,12,0
42,5,12,0
47,7,12,0.0299999999999727
11,0,12,0
14,1,12,0
19,1,12,0
11,0,12,0
11,0,12,0
11,0,12,0
12,0,12,0
8,0,12,0
16,0,12,0
13,0,12,0
24,2,12,0
22,0,12,0
21,0,12,0
30,2,12,0
23,2,12,0
30,1,12,0
30,2,12,0.00999999999999091
29,6,12,0
20,1,12,0
38,0,12,0
35,8,12,0
36,7,12,0
37,6,12,0
23,5,12,0
29,4,12,0
38,6,12,0
47,13,12,0
38,13,12,0
38,9,12,0
43,8,12,0
17,0,12,0
12,0,12,0
15,0,12,0
14,1,12,0
12,0,12,0
12,0,12,0
19,0,12,0
13,0,12,0
14,0,12,0
13,0,12,0
26,6,12,0
27,7,12,0
29,0,12,0
23,0,12,0
25,12,12,0
22,0,12,0
23,9,12,0
24,10,12,0
21,0,12,0
31,5,12,0
42,0,12,0
32,11,12,0
40,24,12,0
32,6,12,0
44,7,12,0.0199999999999818
43,10,12,0
47,9,12,0
33,7,12,0
38,14,12,0
40,9,12,0.179999999999836
14,0,13,0
14,0,13,0
16,2,13,0
18,0,13,0
22,0,13,0
20,2,13,0
20,2,13,0
17,0,13,0
12,1,13,0
20,2,13,0
34,3,13,0
34,4,13,0
37,2,13,0
29,2,13,0
26,3,13,0
38,1,13,0
25,0,13,0
30,1,13,0
35,0,13,0
22,0,13,0
44,2,13,0
40,0,13,0
52,3,13,0
55,4,13,0
42,1,13,0
46,5,13,0
52,4,13,0.0199999999999818
46,5,13,0
41,3,13,0
46,5,13,0
7,0,13,0
11,1,13,0
18,1,13,0
11,2,13,0
6,0,13,0
18,0,13,0
12,0,13,0
10,0,13,0.00999999999999091
10,0,13,0
14,0,13,0
28,3,13,0
33,3,13,0
36,4,13,0
29,6,13,0
40,8,13,0
29,5,13,0
31,5,13,0
17,0,13,0
34,4,13,0
29,3,13,0
47,5,13,0.0199999999999818
44,5,13,0
52,4,13,0.0299999999999727
45,3,13,0
55,7,13,0
50,8,13,0.00999999999999091
49,5,13,0
47,8,13,0
47,4,13,0
49,12,13,0
14,0,13,0
16,0,13,0
19,0,13,0
10,0,13,0
14,0,13,0
13,0,13,0
20,3,13,0
13,0,13,0
18,0,13,0
18,2,13,0
28,2,13,0
31,4,13,0
32,5,13,0
32,2,13,0
37,6,13,0
32,2,13,0
32,8,13,0
32,7,13,0
26,0,13,0
29,8,13,0
51,4,13,0
50,9,13,0
45,11,13,0
45,3,13,0
44,3,13,0.00999999999999091
48,5,13,0
54,9,13,0
41,10,13,0
52,14,13,0
50,9,13,0.00999999999999091
13,0,13,0
16,2,13,0
11,0,13,0
14,0,13,0
18,0,13,0
19,0,13,0
14,1,13,0
15,0,13,0
21,1,13,0
17,0,13,0
37,1,13,0
34,3,13,0
28,0,13,0
22,2,13,0
36,7,13,0
30,0,13,0
32,5,13,0
24,0,13,0
39,1,13,0
31,4,13,0
51,8,13,0
42,4,13,0
45,15,13,0
40,12,13,0
43,13,13,0.00999999999999091
48,5,13,0.0299999999999727
51,12,13,0
47,12,13,0.0999999999999091
54,7,13,0.00999999999999091
45,9,13,0
15,0,13,0
9,0,13,0
17,0,13,0
19,1,13,0
7,0,13,0
19,0,13,0
15,0,13,0
17,1,13,0
14,0,13,0
16,0,13,0
33,11,13,0
28,2,13,0
33,11,13,0
29,11,13,0
33,9,13,0
36,2,13,0
25,3,13,0
33,12,13,0
27,4,13,0
34,1,13,0
41,13,13,0
46,9,13,0.0199999999999818
43,4,13,0.170000000000073
58,18,13,0
49,13,13,0
52,5,13,0
38,2,13,0.00999999999999091
53,7,13,0
53,6,13,0.0399999999999636
45,30,13,0
17,0,15,0
24,0,15,0
20,0,15,0
22,0,15,0
20,1,15,0
25,1,15,0
15,0,15,0
28,2,15,0
21,2,15,0
25,0,15,0
42,2,15,0
40,3,15,0
35,2,15,0
40,3,15,0
47,5,15,0
33,1,15,0
39,2,15,0
40,2,15,0.0199999999999818
46,2,15,0.110000000000127
45,4,15,0
66,8,15,0
69,5,15,0
69,6,15,0.0699999999999363
61,5,15,0
61,4,15,0.0199999999999818
67,6,15,0
68,5,15,0.170000000000073
67,5,15,0
63,0,15,0.220000000000027
56,4,15,0.0299999999999727
14,0,15,0
16,0,15,0
19,0,15,0
20,2,15,0
22,1,15,0
19,0,15,0
20,0,15,0
17,0,15,0
31,1,15,0
17,0,15,0
41,3,15,0
45,3,15,0
43,7,15,0
33,3,15,0
41,4,15,0
32,5,15,0
45,3,15,0.00999999999999091
41,1,15,0
39,4,15,0
48,1,15,0
67,5,15,0
55,3,15,0
65,6,15,0
66,11,15,0.1400000000001
53,5,15,0
66,8,15,0.0199999999999818
77,3,15,0
60,7,15,0.0699999999999363
71,8,15,0
63,6,15,0.0199999999999818
18,0,15,0
20,1,15,0
23,0,15,0
20,0,15,0
21,0,15,0
26,3,15,0
33,6,15,0
22,2,15,0
25,2,15,0
24,4,15,0
40,1,15,0.00999999999999091
43,2,15,0
49,4,15,0
47,0,15,0
48,9,15,0
44,4,15,0
38,5,15,0
45,10,15,0.00999999999999091
40,4,15,0
30,3,15,0
57,10,15,0
56,9,15,0
59,10,15,0
61,3,15,0
72,10,15,0.6099999999999
56,5,15,0
64,8,15,0.630000000000109
71,12,15,0.00999999999999091
59,8,15,0
70,4,15,0
19,5,15,0
27,1,15,0
28,0,15,0
20,2,15,0
24,3,15,0
15,4,15,0
20,0,15,0
19,1,15,0
16,0,15,0
13,0,15,0
41,9,15,0
39,5,15,0
41,5,15,0
47,4,15,0
49,11,15,0
45,2,15,0
35,0,15,0
60,8,15,0.210000000000036
40,3,15,0
32,1,15,0
53,9,15,0
59,9,15,0
69,2,15,0
65,4,15,0
68,8,15,0
59,15,15,0
57,5,15,0
66,12,15,0.430000000000064
47,5,15,0.0299999999999727
67,12,15,0.779999999999973
14,0,15,0
21,1,15,0
17,1,15,0
25,0,15,0
24,1,15,0
21,0,15,0
15,0,15,0
17,0,15,0
24,5,15,0
15,1,15,0
46,3,15,0
49,2,15,0
44,5,15,0
43,5,15,0
40,14,15,0
38,7,15,0
51,11,15,0
43,17,15,0
47,13,15,0
38,0,15,0
72,25,15,2.54999999999995
54,21,15,0.00999999999999091
63,17,15,0
58,6,15,0.0699999999999363
75,33,15,0
61,21,15,0.0299999999999727
57,6,15,0.259999999999991
58,1,15,0
71,16,15,0
62,15,15,0.0900000000001455
43,1,20,0
31,0,20,0
39,3,20,0
41,1,20,0
35,0,20,0
51,0,20,0
35,2,20,0
36,0,20,0.0199999999999818
38,1,20,0
35,2,20,0
73,3,20,0.339999999999918
73,3,20,0.25
81,4,20,0.00999999999999091
84,4,20,0.470000000000027
72,7,20,0
70,2,20,0
81,2,20,0.0299999999999727
82,4,20,0.559999999999945
82,6,20,0
69,2,20,0.0399999999999636
127,6,20,0
121,8,20,68.7
116,6,20,73.55
124,5,20,0
124,2,20,0
101,9,20,18.5
100,7,20,11.3900000000001
